Identifiant,Civilité,Nom,Prénom,Spécialité 1,Spécialité 2,Etablissement,ARS,Secteur,Région,# patients potentiels pour Produimax,Attitude envers Produimax,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
BM00001,Mr,McLane,Hervé,Hématologie,Proctologie,CHU Nantes,Pays de la Loire,S4,Nord,17,Détracteur,,,,,
BM00002,Mr,Farmer,Valéry,Urologie,,APHP,Ile-de-France,S6,Nord,9,Neutre,,,,,
BM00003,Mme,Osaka,Josiane,Urologie,Oncologie,APHP,Ile-de-France,S5,Nord,0,Prescripteur,,,,,
BM00004,Mr,Hugo,Emmanuel,Urologie,Radiologie,HCL,Rhône-Alpes,S3,Sud,7,Détracteur,,,,,
BM00005,Mme,Michelet,Edith,,,APHP,Ile-de-France,S5,Nord,18,Prescripteur,,,,,
BM00006,Mr,Michelet,Jacques,Urologie,,APHM,Provence Alpes Côte d'Azur,S2,Sud,14,Neutre,,,,,
BM00007,Mme,Céline,Judie,Urologie,,CHU Lille,Nord Pas-de-Calais,S5,Nord,13,Neutre,,,,,
BM00008,Mme,Brassens,Adèle,Urologie,,CHU Nantes,Pays de la Loire,S4,Nord,20,Prescripteur,,,,,
BM00009,Mme,McLane,Margaret,Urologie,Radiologie,APHM,Provence Alpes Côte d'Azur,S2,Sud,15,Neutre,,,,,
BM00010,Mr,Exarchopoulos,Valéry,Proctologie,Hématologie,CHU Lille,Nord Pas-de-Calais,S5,Nord,9,Neutre,,,,,
BM00011,Mme,Brady,Margaret,,,CHU Bordeaux,Aquitaine,S1,Sud,13,Prescripteur,,,,,
BM00012,Mr,Hugo,Valéry,,,CHU Lille,Nord Pas-de-Calais,S5,Nord,17,Détracteur,,,,,
BM00013,Mme,Liszt,Micheline,,,CHU Lille,Nord Pas-de-Calais,S5,Nord,18,Prescripteur,,,,,
BM00014,Mr,McLane,Killian,Hématologie,,APHM,Provence Alpes Côte d'Azur,S2,Sud,16,Détracteur,,,,,
BM00015,Mme,Osaka,Pauline,Urologie,Proctologie,CHU Nantes,Pays de la Loire,S4,Nord,1,Prescripteur,,,,,
BM00016,Mr,Harrison,André,Hématologie,,APHP,Ile-de-France,S6,Nord,6,Neutre,,,,,
BM00017,Mr,Vidal,Victor,Radiologie,Proctologie,APHP,Ile-de-France,S6,Nord,5,Détracteur,,,,,
BM00018,Mme,McLane,Margaret,,,CHU Bordeaux,Aquitaine,S1,Sud,2,Prescripteur,,,,,
BM00019,Mr,McCartney,Emmanuel,Proctologie,Oncologie,HCL,Rhône-Alpes,S3,Sud,0,Neutre,,,,,
BM00020,Mr,McLane,Nicolas,Hématologie,Urologie,APHP,Ile-de-France,S6,Nord,11,Neutre,,,,,
BM00021,Mme,Exarchopoulos,Venus,Oncologie,Radiologie,APHP,Ile-de-France,S6,Nord,0,Prescripteur,,,,,
BM00022,Mr,Vidal,Victor,Urologie,Hématologie,APHP,Ile-de-France,S5,Nord,4,Détracteur,,,,,
BM00023,Mr,Lennon,Louis,Radiologie,Oncologie,CHU Nantes,Pays de la Loire,S4,Nord,0,Neutre,,,,,
BM00024,Mr,Exarchopoulos,Zinedine,,,APHP,Ile-de-France,S6,Nord,8,Détracteur,,,,,
BM00025,Mme,Vidal,Micheline,Oncologie,Proctologie,CHU Bordeaux,Aquitaine,S1,Sud,13,Neutre,,,,,
BM00026,Mme,Céline,Philomène,Radiologie,,CHU Nantes,Pays de la Loire,S4,Nord,6,Neutre,,,,,
BM00027,Mme,Harrison,Hypathie,,,HCL,Rhône-Alpes,S3,Sud,11,Neutre,,,,,
BM00028,Mr,Zeta-Jones,François,Hématologie,Oncologie,APHP,Ile-de-France,S6,Nord,17,Détracteur,,,,,
BM00029,Mr,Cornet,François,Radiologie,,CHU Bordeaux,Aquitaine,S1,Sud,14,Neutre,,,,,
BM00030,Mr,Orban,Zoltan,Radiologie,,CHU Nantes,Pays de la Loire,S4,Nord,11,Détracteur,,,,,
BM00031,Mr,Molière,Jerry,Hématologie,Oncologie,HCL,Rhône-Alpes,S3,Sud,17,Détracteur,,,,,
BM00032,Mme,Brassens,Hypathie,Hématologie,,APHM,Provence Alpes Côte d'Azur,S2,Sud,12,Neutre,,,,,
BM00033,Mr,Brady,Hervé,Radiologie,Proctologie,CHU Lille,Nord Pas-de-Calais,S5,Nord,0,Détracteur,,,,,
BM00034,Mr,Vincent,Francky,Urologie,Proctologie,CHU Pointe-à-Pitre,Guadeloupe,S9,DOM-TOM,19,Neutre,,,,,
BM00035,Mr,Brassens,Valéry,Urologie,Proctologie,CHU Bordeaux,Aquitaine,S1,Sud,14,Détracteur,,,,,
BM00036,Mr,Star,Charles,Radiologie,Proctologie,CHU Bordeaux,Aquitaine,S1,Sud,10,Neutre,,,,,
BM00037,Mr,Cornet,Valéry,Hématologie,,APHM,Provence Alpes Côte d'Azur,S2,Sud,1,Détracteur,,,,,
BM00038,Mme,Céline,Margaret,Urologie,,CHU Lille,Nord Pas-de-Calais,S5,Nord,4,Neutre,,,,,
BM00039,Mr,Michelet,Emmanuel,Oncologie,,APHM,Provence Alpes Côte d'Azur,S2,Sud,0,Neutre,,,,,
BM00040,Mr,Zeta-Jones,Valéry,Oncologie,Proctologie,CHU Nantes,Pays de la Loire,S4,Nord,10,Neutre,,,,,
BM00041,Mme,McCartney,Berthe,,,CHU Nantes,Pays de la Loire,S4,Nord,18,Neutre,,,,,
BM00042,Mr,Hugo,Jean-Michel,Hématologie,Oncologie,HCL,Rhône-Alpes,S3,Sud,3,Détracteur,,,,,
BM00043,Mme,Michalo,Edith,Radiologie,Hématologie,HCL,Rhône-Alpes,S3,Sud,15,Neutre,,,,,
BM00044,Mr,Brady,Emmanuel,Proctologie,,APHP,Ile-de-France,S6,Nord,12,Détracteur,,,,,
BM00045,Mme,Hugo,Hypathie,,,HCL,Rhône-Alpes,S3,Sud,15,Neutre,,,,,
BM00046,Mr,Exarchopoulos,Hervé,,,CHU Lille,Nord Pas-de-Calais,S5,Nord,8,Détracteur,,,,,
BM00047,Mr,Hugo,Hervé,Radiologie,Urologie,CHU Nantes,Pays de la Loire,S4,Nord,10,Détracteur,,,,,
BM00048,Mr,Vidal,Jean-Claude,,,CHU Nantes,Pays de la Loire,S4,Nord,4,Détracteur,,,,,
BM00049,Mr,Tilman,Jean-Jacques,Radiologie,,CHU Nantes,Pays de la Loire,S4,Nord,9,Détracteur,,,,,
BM00050,Mme,McLane,Hermine,,,APHM,Provence Alpes Côte d'Azur,S2,Sud,5,Neutre,,,,,
